name,valence,bias,group
188,0.021184323049299115,pro,10
189,0.18851344629613037,pro,10
190,-0.1248230042930652,con,10
191,0.05361132739540032,pro,10
192,-0.08117147787270867,con,10
193,0.023645882043392855,pro,10
194,-0.2238408394943854,con,10
195,-0.327700383331993,con,10
196,0.4993033461869916,pro,10
197,0.1501772059181044,pro,10
198,-0.312817840406236,con,10
199,-0.15279147917010522,con,10
200,-0.2963700211493276,con,10
